Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000324,Male,Yes,0,Graduate,Yes,2308,2232.0,91.0,60.0,1.0,Urban,Y
LP000253,Male,No,0,Not Graduate,No,2813,0.0,45.0,360.0,1.0,Semiurban,Y
LP000509,Male,No,2,Graduate,No,8536,0.0,119.0,360.0,1.0,Semiurban,Y
LP000466,Male,Yes,1,Graduate,Yes,4674,3634.0,167.0,360.0,1.0,Rural,Y
LP000014,Female,Yes,0,Not Graduate,No,3076,2877.0,82.0,360.0,1.0,Rural,Y
LP000566,Male,Yes,1,Graduate,No,3737,3295.0,124.0,360.0,1.0,Urban,Y
LP000061,Male,Yes,0,Not Graduate,No,4240,1938.0,93.0,300.0,0.0,Semiurban,N
LP000402,Female,Yes,0,Graduate,No,4862,0.0,83.0,360.0,1.0,Semiurban,Y
LP000278,Male,No,0,Graduate,No,2281,0.0,,360.0,0.0,Semiurban,N
LP000257,Female,No,1,Graduate,No,1511,0.0,22.0,360.0,1.0,Semiurban,Y
LP000371,Male,Yes,2,Not Graduate,No,2394,0.0,53.0,360.0,1.0,Urban,Y
LP000004,Male,Yes,1,Graduate,No,1970,1147.0,48.0,360.0,1.0,Semiurban,Y
LP000215,Male,No,0,Not Graduate,No,3696,0.0,64.0,360.0,1.0,Urban,Y
LP000598,Male,No,0,Graduate,No,4943,0.0,68.0,360.0,1.0,Urban,N
LP000173,Male,No,0,Graduate,No,2020,0.0,28.0,360.0,0.0,Rural,N
LP000053,Male,No,0,Graduate,No,4872,0.0,67.0,360.0,1.0,Urban,Y
LP000018,Male,No,0,Graduate,No,8147,0.0,160.0,360.0,1.0,Semiurban,Y
LP000286,Male,Yes,2,Graduate,No,2792,2307.0,72.0,360.0,1.0,Urban,Y
LP000051,Male,Yes,2,Graduate,,4352,4767.0,194.0,360.0,1.0,Urban,Y
LP000240,Male,No,0,Graduate,No,3550,0.0,51.0,360.0,1.0,Urban,Y
LP000569,Male,Yes,0,Graduate,No,2408,1097.0,78.0,360.0,1.0,Rural,Y
LP000111,Male,Yes,2,Graduate,Yes,3630,1962.0,123.0,360.0,1.0,Rural,Y
LP000545,Male,Yes,1,Not Graduate,No,3431,1765.0,92.0,360.0,0.0,Semiurban,N
LP000301,Male,No,,Graduate,No,5047,0.0,,,0.0,Rural,N
LP000330,Male,Yes,0,Graduate,No,1922,1174.0,57.0,360.0,1.0,Semiurban,Y
LP000241,Female,Yes,1,Graduate,No,3853,5420.0,141.0,360.0,1.0,Rural,N
LP000058,Male,Yes,3+,Graduate,Yes,3722,3081.0,118.0,360.0,1.0,Urban,Y
LP000344,Male,Yes,0,Graduate,No,2668,0.0,58.0,360.0,0.0,Urban,Y
LP000031,Male,Yes,0,Not Graduate,No,5985,1005.0,124.0,360.0,1.0,Rural,Y
LP000210,Male,No,0,Graduate,No,4006,0.0,85.0,360.0,1.0,Urban,N
LP000259,Male,No,3+,Graduate,No,4254,0.0,63.0,360.0,1.0,Semiurban,Y
LP000534,Male,No,0,Graduate,No,5128,0.0,107.0,360.0,1.0,Urban,Y
LP000155,Male,Yes,0,Graduate,No,6417,877.0,127.0,360.0,1.0,Urban,Y
LP000023,Female,No,0,Graduate,,2995,0.0,42.0,360.0,,Rural,Y
LP000372,Male,No,0,Graduate,No,1790,0.0,27.0,300.0,1.0,Urban,Y
LP000511,Male,Yes,0,Graduate,No,4300,4264.0,150.0,360.0,1.0,Rural,Y
LP000432,Male,Yes,0,Not Graduate,No,2157,892.0,44.0,360.0,,Semiurban,Y
LP000052,Male,No,1,Graduate,No,9286,0.0,129.0,360.0,1.0,Urban,N
LP000047,Male,Yes,0,Not Graduate,No,1877,1539.0,60.0,360.0,1.0,Urban,N
LP000282,Male,,2,Graduate,No,3233,0.0,59.0,360.0,1.0,Urban,Y
LP000418,Male,No,0,Graduate,No,9699,0.0,152.0,360.0,1.0,Semiurban,Y
LP000436,Male,Yes,0,Graduate,No,2840,3566.0,138.0,60.0,,Semiurban,N
LP000345,Male,Yes,0,Not Graduate,No,6227,0.0,91.0,360.0,0.0,Urban,N
LP000305,Female,Yes,0,Graduate,No,3725,2943.0,96.0,360.0,1.0,Semiurban,Y
LP000262,Female,No,0,Not Graduate,No,2169,0.0,33.0,300.0,1.0,Urban,Y
LP000469,Male,No,0,Not Graduate,Yes,4060,0.0,55.0,360.0,,Urban,N
LP000456,Male,Yes,0,Graduate,No,5794,2748.0,132.0,360.0,1.0,Semiurban,Y
LP000201,Male,Yes,2,Graduate,No,4116,0.0,73.0,360.0,1.0,Rural,N
LP000274,Male,Yes,3+,Not Graduate,No,3231,0.0,58.0,360.0,1.0,Urban,Y
LP000556,Male,Yes,0,Graduate,No,2902,1210.0,55.0,360.0,1.0,Semiurban,Y
LP000385,Male,No,2,Graduate,No,1994,0.0,32.0,360.0,1.0,Rural,Y
LP000522,Male,Yes,0,Not Graduate,No,2966,9119.0,266.0,360.0,1.0,Urban,Y
LP000205,Male,Yes,0,Graduate,No,4992,2302.0,115.0,360.0,1.0,Semiurban,Y
LP000098,Male,No,2,Graduate,No,2880,0.0,50.0,120.0,1.0,Urban,Y
LP000506,Male,No,0,Not Graduate,No,3486,0.0,71.0,360.0,0.0,Semiurban,N
LP000419,Male,Yes,0,Graduate,Yes,7202,2474.0,140.0,360.0,0.0,Urban,N
LP000223,Male,No,2,Graduate,No,8330,0.0,137.0,300.0,0.0,Semiurban,Y
LP000559,Male,Yes,0,Graduate,No,8831,1395.0,162.0,300.0,1.0,Semiurban,Y
LP000395,Male,No,2,Graduate,No,2894,0.0,55.0,360.0,1.0,Semiurban,Y
LP000442,Male,No,2,Graduate,No,4450,0.0,60.0,360.0,1.0,Semiurban,Y
LP000056,Male,Yes,1,Graduate,No,5960,504.0,138.0,360.0,1.0,Urban,N
LP000024,Female,No,,Not Graduate,No,2602,0.0,47.0,,1.0,Rural,Y
LP000285,Male,Yes,1,Graduate,,8347,9176.0,366.0,360.0,1.0,Semiurban,Y
LP000424,Male,Yes,0,Graduate,Yes,2006,2425.0,60.0,360.0,1.0,Semiurban,Y
LP000141,Male,No,0,Not Graduate,Yes,3259,0.0,68.0,240.0,1.0,Urban,Y
LP000143,Female,Yes,0,Graduate,No,2789,2401.0,73.0,360.0,1.0,Rural,Y
LP000169,Male,Yes,0,Graduate,No,5407,202.0,117.0,360.0,1.0,Urban,N
LP000479,Male,Yes,0,Graduate,No,3247,3739.0,139.0,360.0,0.0,Urban,N
LP000260,Male,Yes,0,Graduate,No,3380,0.0,56.0,240.0,0.0,Urban,N
LP000236,Male,No,0,Graduate,No,9294,0.0,130.0,360.0,1.0,Urban,N
LP000596,Male,Yes,1,Graduate,Yes,8541,1409.0,146.0,120.0,1.0,Semiurban,Y
LP000083,Female,No,0,Graduate,Yes,5761,0.0,122.0,480.0,0.0,Urban,Y
LP000328,Male,No,2,Graduate,No,6532,0.0,98.0,360.0,1.0,Urban,N
LP000218,Male,Yes,0,Graduate,No,4087,1312.0,97.0,360.0,1.0,Semiurban,Y
LP000500,Male,No,2,Graduate,No,5377,0.0,93.0,360.0,1.0,Urban,N
LP000039,Male,No,0,Graduate,No,8822,0.0,139.0,360.0,1.0,Urban,Y
LP000386,Female,Yes,0,Graduate,No,2716,1969.0,90.0,360.0,0.0,Rural,N
LP000011,Male,No,0,Graduate,No,4141,0.0,74.0,480.0,0.0,Urban,N
LP000472,Male,No,1,Graduate,,3749,0.0,77.0,300.0,1.0,Semiurban,Y
LP000033,Male,Yes,0,Not Graduate,Yes,8142,801.0,134.0,360.0,1.0,Rural,Y
LP000244,Male,No,0,Graduate,No,4978,0.0,73.0,360.0,1.0,Semiurban,N
LP000306,Male,Yes,1,Not Graduate,No,1737,1556.0,53.0,360.0,1.0,Semiurban,N
LP000026,Male,No,1,Graduate,No,4084,0.0,55.0,360.0,0.0,Urban,N
LP000193,Male,No,1,Graduate,No,9915,0.0,138.0,360.0,1.0,Urban,Y
LP000548,Male,No,0,Graduate,No,4455,0.0,69.0,360.0,0.0,Urban,N
LP000294,Male,Yes,0,Graduate,Yes,1168,848.0,34.0,360.0,1.0,Semiurban,N
LP000474,Male,No,3+,Graduate,,3873,0.0,55.0,360.0,0.0,Urban,Y
LP000520,Female,No,0,Graduate,No,2868,0.0,40.0,360.0,0.0,Urban,N
LP000156,Male,Yes,3+,Graduate,No,3733,1063.0,67.0,360.0,1.0,Rural,Y
LP000090,Male,No,0,Graduate,No,17936,0.0,316.0,360.0,1.0,Urban,N
LP000066,Male,Yes,0,Graduate,No,3855,699.0,78.0,360.0,1.0,Rural,Y
LP000370,Female,Yes,0,Graduate,No,3011,9394.0,210.0,360.0,1.0,Semiurban,Y
LP000334,Female,No,1,Graduate,No,5132,0.0,86.0,360.0,1.0,Rural,Y
LP000578,Male,Yes,1,Not Graduate,No,5300,0.0,87.0,180.0,1.0,Semiurban,Y
LP000284,Male,Yes,0,Graduate,No,5055,0.0,82.0,360.0,1.0,Urban,Y
LP000423,Male,Yes,0,Graduate,No,5162,0.0,69.0,480.0,1.0,Rural,Y
LP000271,Male,Yes,0,Graduate,No,5765,0.0,82.0,360.0,1.0,Urban,Y
LP000214,Male,Yes,0,Graduate,No,3166,698.0,,360.0,0.0,Urban,N
LP000373,Male,Yes,3+,Not Graduate,No,4773,0.0,88.0,360.0,,Urban,Y
LP000452,Female,No,0,Graduate,Yes,6899,0.0,111.0,360.0,1.0,Rural,Y
LP000041,Male,No,0,Graduate,No,2018,0.0,29.0,360.0,0.0,Urban,N
LP000440,Male,Yes,0,Graduate,Yes,2889,4205.0,147.0,360.0,1.0,Urban,Y
LP000221,Male,No,1,Graduate,No,3586,0.0,50.0,360.0,1.0,Urban,Y
LP000356,Male,Yes,0,Graduate,No,4291,1733.0,94.0,480.0,1.0,Semiurban,Y
LP000272,Male,Yes,1,Graduate,Yes,4271,0.0,64.0,360.0,0.0,Rural,N
LP000384,Male,Yes,2,Graduate,,3475,1975.0,103.0,360.0,1.0,Urban,Y
LP000230,Male,Yes,0,Graduate,No,4815,4069.0,119.0,360.0,1.0,Urban,Y
LP000057,Male,Yes,3+,Graduate,Yes,5122,2911.0,128.0,360.0,1.0,Semiurban,N
LP000203,Male,No,3+,Not Graduate,Yes,2802,0.0,41.0,360.0,0.0,Semiurban,N
LP000072,Male,Yes,0,Graduate,No,5532,3826.0,146.0,360.0,0.0,Urban,Y
LP000409,Male,No,0,Graduate,,5477,0.0,101.0,360.0,1.0,Rural,Y
LP000441,Female,Yes,0,Graduate,,3845,2023.0,89.0,300.0,1.0,Rural,N
LP000091,Male,Yes,1,Graduate,No,8889,1682.0,153.0,360.0,1.0,Rural,Y
LP000167,Female,Yes,2,Graduate,No,8049,0.0,,480.0,1.0,Rural,N
LP000574,Male,No,1,Graduate,No,4405,0.0,94.0,360.0,0.0,Urban,N
LP000171,Male,No,0,Graduate,No,6392,0.0,136.0,360.0,0.0,Rural,N
LP000055,Male,Yes,0,Graduate,No,6282,1512.0,126.0,,0.0,Urban,N
LP000387,Male,Yes,2,Graduate,No,3005,2722.0,101.0,360.0,1.0,Rural,Y
LP000405,Female,Yes,1,Graduate,No,14492,621.0,235.0,360.0,1.0,Semiurban,Y
LP000378,Male,No,0,Graduate,No,5024,0.0,70.0,360.0,0.0,Semiurban,N
LP000067,Male,Yes,0,Not Graduate,No,1772,0.0,25.0,360.0,1.0,Rural,Y
LP000601,Male,Yes,3+,Graduate,No,5039,4558.0,144.0,,1.0,Urban,N
LP000586,Male,No,0,Graduate,No,4163,0.0,56.0,60.0,1.0,Urban,Y
LP000437,Male,No,3+,Not Graduate,No,4624,0.0,82.0,300.0,1.0,Semiurban,Y
LP000465,Male,Yes,0,Graduate,No,2994,990.0,85.0,360.0,1.0,Semiurban,Y
LP000535,Male,Yes,0,Not Graduate,No,4067,4470.0,124.0,360.0,1.0,Rural,N
LP000121,Male,Yes,0,Graduate,No,4937,0.0,69.0,360.0,0.0,Urban,N
LP000490,Male,No,1,Graduate,No,3319,0.0,57.0,360.0,0.0,Semiurban,N
LP000505,Male,Yes,2,Not Graduate,No,11704,3199.0,323.0,360.0,1.0,Urban,Y
LP000189,Male,No,0,Graduate,No,4331,0.0,77.0,360.0,1.0,Semiurban,N
LP000337,Male,Yes,2,Graduate,No,4745,182.0,99.0,360.0,,Semiurban,Y
LP000174,,Yes,0,Graduate,,5330,4453.0,142.0,360.0,1.0,Urban,Y
LP000480,Male,Yes,0,Graduate,No,3403,2296.0,102.0,360.0,1.0,Rural,Y
LP000468,Female,No,0,Not Graduate,No,2689,0.0,40.0,360.0,0.0,Semiurban,N
LP000528,Female,No,1,Graduate,No,7373,0.0,157.0,360.0,1.0,Rural,Y
LP000431,Female,Yes,0,Graduate,Yes,4713,0.0,77.0,360.0,1.0,Semiurban,N
LP000119,Male,Yes,0,Graduate,No,5403,631.0,86.0,240.0,1.0,Urban,Y
LP000120,Male,Yes,0,Graduate,No,5434,0.0,86.0,360.0,1.0,Urban,Y
LP000322,Male,Yes,0,Graduate,No,5053,2654.0,159.0,360.0,1.0,Semiurban,Y
LP000420,Female,No,2,Not Graduate,No,3546,0.0,63.0,360.0,1.0,Semiurban,Y
LP000229,Male,Yes,0,Not Graduate,No,4803,1733.0,137.0,300.0,1.0,Semiurban,Y
LP000139,Male,Yes,0,Not Graduate,,9892,0.0,,360.0,1.0,Urban,Y
LP000146,Male,Yes,2,Graduate,No,19729,4465.0,497.0,360.0,1.0,Semiurban,Y
LP000149,Male,Yes,1,Graduate,Yes,6940,421.0,158.0,360.0,0.0,Urban,N
LP000447,Female,No,2,Graduate,No,3897,0.0,56.0,360.0,1.0,Semiurban,Y
LP000355,Male,Yes,0,Graduate,Yes,3380,0.0,47.0,360.0,1.0,Urban,Y
LP000163,Male,Yes,3+,Graduate,No,6423,744.0,109.0,360.0,1.0,Semiurban,N
LP000539,Male,Yes,3+,Not Graduate,No,4726,360.0,76.0,300.0,0.0,Urban,N
LP000115,Male,Yes,,Graduate,Yes,4422,3937.0,127.0,180.0,1.0,Urban,Y
LP000493,Male,Yes,0,Graduate,No,4376,0.0,58.0,480.0,0.0,Rural,N
LP000151,Female,No,1,Graduate,No,8644,0.0,180.0,360.0,0.0,Urban,N
LP000564,Male,Yes,0,Graduate,No,5672,1816.0,131.0,360.0,0.0,Semiurban,Y
LP000383,Male,Yes,0,Not Graduate,No,3675,1806.0,104.0,360.0,1.0,Urban,N
LP000237,,Yes,1,Graduate,No,4939,935.0,85.0,360.0,,Urban,N
LP000032,Female,No,3+,Not Graduate,No,6309,0.0,115.0,360.0,1.0,Urban,N
LP000519,Male,Yes,1,Not Graduate,No,7230,923.0,166.0,360.0,1.0,Rural,Y
LP000222,Male,Yes,0,Graduate,,7168,1642.0,169.0,360.0,1.0,Semiurban,N
LP000290,Male,Yes,3+,Graduate,No,3662,0.0,65.0,360.0,1.0,Semiurban,Y
LP000021,Male,Yes,2,Not Graduate,No,3655,1075.0,104.0,360.0,1.0,Rural,Y
LP000464,Male,Yes,3+,Graduate,No,2955,3270.0,128.0,360.0,1.0,Urban,N
LP000114,Male,Yes,2,Not Graduate,No,3901,2264.0,120.0,360.0,1.0,Urban,Y
LP000483,Male,Yes,2,Graduate,No,6791,980.0,170.0,84.0,1.0,Urban,Y
LP000001,Male,Yes,3+,Graduate,No,9117,625.0,208.0,360.0,1.0,Urban,Y
LP000325,Female,No,0,Not Graduate,Yes,6101,0.0,103.0,480.0,1.0,Semiurban,Y
LP000381,Male,No,0,Graduate,No,6479,0.0,124.0,360.0,1.0,Semiurban,N
LP000329,Male,Yes,3+,Graduate,No,1935,606.0,48.0,360.0,,Semiurban,N
LP000245,Male,Yes,0,Graduate,No,11705,0.0,184.0,360.0,1.0,Urban,Y
LP000352,Male,Yes,2,Graduate,No,2836,1077.0,80.0,360.0,1.0,Urban,Y
LP000534,Male,No,0,Graduate,No,5128,0.0,107.0,360.0,1.0,Urban,Y
LP000003,Female,No,0,Graduate,No,15991,0.0,318.0,360.0,1.0,Rural,Y
LP000590,Male,No,0,Graduate,,2835,0.0,56.0,360.0,0.0,Urban,N
LP000059,Male,No,0,Graduate,No,12131,0.0,183.0,360.0,1.0,Semiurban,Y
LP000561,Male,Yes,2,Graduate,No,5436,8918.0,254.0,360.0,0.0,Urban,Y
LP000396,Male,,0,Graduate,No,5890,2212.0,173.0,360.0,1.0,Rural,Y
LP000599,Female,Yes,0,Not Graduate,No,1717,1815.0,53.0,360.0,0.0,Urban,N
LP000005,Male,Yes,0,Graduate,No,9433,0.0,132.0,360.0,,Rural,Y
LP000273,Male,Yes,1,Graduate,,2405,1912.0,86.0,360.0,1.0,Urban,Y
LP000446,Male,No,0,Graduate,No,2491,0.0,40.0,360.0,1.0,Semiurban,Y
LP000075,Male,No,2,Graduate,No,1461,0.0,23.0,360.0,1.0,Rural,Y
LP000243,Male,No,3+,Graduate,No,4030,0.0,83.0,360.0,0.0,Semiurban,N
LP000192,Male,Yes,3+,Graduate,No,3254,1374.0,67.0,360.0,1.0,Semiurban,Y
LP000576,Male,No,1,Graduate,Yes,2347,0.0,45.0,360.0,1.0,Semiurban,Y
LP000604,Male,Yes,3+,Graduate,No,5695,0.0,99.0,360.0,0.0,Urban,N
LP000547,Male,Yes,1,Graduate,No,1537,2291.0,63.0,360.0,1.0,Urban,Y
LP000081,Male,No,0,Graduate,No,4420,0.0,88.0,240.0,1.0,Urban,Y
LP000360,Male,No,0,Not Graduate,No,2993,0.0,41.0,360.0,1.0,Rural,Y
LP000246,Female,Yes,0,Graduate,No,4435,2528.0,115.0,60.0,1.0,Urban,Y
LP000027,Male,No,0,Graduate,Yes,12864,0.0,197.0,360.0,1.0,Urban,Y
LP000408,Female,No,0,Graduate,Yes,3551,0.0,55.0,360.0,1.0,Rural,Y
LP000217,Male,Yes,0,Graduate,No,2828,4337.0,113.0,360.0,1.0,Semiurban,Y
LP000572,Female,No,1,Graduate,No,7584,0.0,116.0,36.0,1.0,Urban,Y
LP000526,Male,No,2,Graduate,No,6379,0.0,100.0,360.0,1.0,Rural,Y
LP000148,Male,Yes,0,Graduate,No,1691,0.0,24.0,360.0,1.0,Urban,N
LP000015,Male,Yes,0,Graduate,No,3278,600.0,74.0,360.0,1.0,Rural,Y
LP000175,Male,No,3+,Graduate,Yes,5712,0.0,80.0,360.0,1.0,Urban,Y
LP000087,Male,Yes,0,Graduate,No,4901,559.0,82.0,360.0,1.0,Urban,Y
LP000166,Male,No,0,Graduate,No,4082,0.0,58.0,360.0,1.0,Urban,Y
LP000537,Male,Yes,0,Graduate,No,3026,2123.0,99.0,360.0,1.0,Urban,Y
LP000060,Male,No,0,Graduate,No,2569,0.0,55.0,360.0,0.0,Rural,Y
LP000531,Male,Yes,2,Graduate,Yes,2471,774.0,71.0,360.0,1.0,Urban,Y
LP000165,Male,No,0,Graduate,No,5853,0.0,115.0,360.0,1.0,Urban,Y
LP000042,Female,Yes,0,Graduate,No,1798,3722.0,88.0,360.0,1.0,Urban,Y
LP000340,Female,Yes,0,Not Graduate,No,4392,0.0,59.0,360.0,1.0,Urban,Y
LP000080,,Yes,1,Graduate,No,2899,0.0,50.0,360.0,1.0,Urban,Y
LP000361,Female,Yes,0,Not Graduate,No,2681,1034.0,77.0,480.0,1.0,Semiurban,Y
LP000029,Male,Yes,2,Graduate,No,2542,945.0,52.0,360.0,0.0,Urban,N
LP000454,Male,No,2,Graduate,No,5269,0.0,113.0,360.0,1.0,Semiurban,Y
LP000338,Male,Yes,0,Not Graduate,No,8183,1227.0,134.0,360.0,1.0,Urban,Y
LP000427,Male,Yes,3+,Graduate,No,2488,508.0,54.0,360.0,,Semiurban,Y
LP000320,Female,No,2,Graduate,No,4778,0.0,75.0,480.0,1.0,Urban,Y
LP000085,Male,No,1,Graduate,No,3306,0.0,,360.0,,Urban,Y
LP000063,Male,No,0,Graduate,No,5278,0.0,82.0,360.0,0.0,Urban,N
LP000597,Male,No,1,Graduate,No,2661,0.0,49.0,360.0,1.0,Urban,Y
LP000137,Female,Yes,0,Graduate,No,3310,1191.0,89.0,360.0,0.0,Urban,N
LP000112,Male,Yes,0,Not Graduate,Yes,5479,453.0,97.0,360.0,1.0,Urban,Y
LP000195,Male,Yes,0,Not Graduate,No,6293,885.0,153.0,360.0,,Urban,N
LP000393,Male,No,0,Graduate,No,2395,0.0,34.0,360.0,,Urban,N
LP000044,Male,Yes,0,Graduate,No,4025,1002.0,81.0,84.0,,Semiurban,Y
LP000388,Female,Yes,0,Graduate,No,2280,0.0,35.0,360.0,,Rural,Y
LP000130,Male,Yes,0,Not Graduate,No,4940,1328.0,,300.0,0.0,Rural,N
LP000552,Male,No,0,Graduate,Yes,3402,0.0,48.0,360.0,1.0,Urban,N
LP000219,Female,Yes,3+,Not Graduate,No,4679,0.0,69.0,360.0,1.0,Urban,N
LP000097,Male,No,0,Graduate,No,2740,0.0,58.0,360.0,1.0,Urban,Y
LP000125,Male,Yes,0,Graduate,Yes,6983,0.0,97.0,360.0,1.0,Semiurban,Y
LP000613,Female,Yes,0,Graduate,No,4991,3893.0,143.0,360.0,1.0,Semiurban,Y
LP000227,Male,Yes,0,Graduate,No,3675,3486.0,116.0,360.0,1.0,Semiurban,Y
LP000178,Female,Yes,0,Graduate,No,2569,460.0,42.0,360.0,1.0,Rural,Y
